"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Dealer_Positions_Long_All","Dealer_Positions_Short_All","Dealer_Positions_Spread_All","Asset_Mgr_Positions_Long_All","Asset_Mgr_Positions_Short_All","Asset_Mgr_Positions_Spread_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","Lev_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Change_in_Open_Interest_All","Change_in_Dealer_Long_All","Change_in_Dealer_Short_All","Change_in_Dealer_Spread_All","Change_in_Asset_Mgr_Long_All","Change_in_Asset_Mgr_Short_All","Change_in_Asset_Mgr_Spread_All","Change_in_Lev_Money_Long_All","Change_in_Lev_Money_Short_All","Change_in_Lev_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Dealer_Long_All","Pct_of_OI_Dealer_Short_All","Pct_of_OI_Dealer_Spread_All","Pct_of_OI_Asset_Mgr_Long_All","Pct_of_OI_Asset_Mgr_Short_All","Pct_of_OI_Asset_Mgr_Spread_All","Pct_of_OI_Lev_Money_Long_All","Pct_of_OI_Lev_Money_Short_All","Pct_of_OI_Lev_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Traders_Tot_All","Traders_Dealer_Long_All","Traders_Dealer_Short_All","Traders_Dealer_Spread_All","Traders_Asset_Mgr_Long_All","Traders_Asset_Mgr_Short_All","Traders_Asset_Mgr_Spread_All","Traders_Lev_Money_Long_All","Traders_Lev_Money_Short_All","Traders_Lev_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE",250304,2025-03-04,146022,CME ,00,146 ,   53775,    5588,     246,       0,     951,    2461,     303,   14463,   45091,    1585,   27857,    3388,      50,   50797,   53124,    2978,     651,  -34805,   -9614,   -2416,       0,      80,    1821,   -1470,  -25658,  -33693,     648,    1927,     667,    -438,  -34525,  -34881,    -280,      76,  100.0,   10.4,    0.5,    0.0,    1.8,    4.6,    0.6,   26.9,   83.9,    2.9,   51.8,    6.3,    0.1,   94.5,   98.8,    5.5,    1.2,    209,      5,.,      0,      4,      4,.,     11,     14,.,    133,     37,.,    158,     57,    40.7,    78.7,    54.4,    87.9,    40.7,    75.8,    53.8,    84.7,"(0.1 Index Points)","146022","CME ","146 ","F85","FutOnly"
"MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE",250225,2025-02-25,146022,CME ,00,146 ,   88580,   15202,    2662,       0,     871,     640,    1773,   40121,   78784,     937,   25930,    2721,     488,   85322,   88005,    3258,     575,   -6083,   13901,     590,    -893,     100,   -1011,     402,  -12077,   -3344,   -2640,   -5453,     246,     488,   -6172,   -6162,      89,      79,  100.0,   17.2,    3.0,    0.0,    1.0,    0.7,    2.0,   45.3,   88.9,    1.1,   29.3,    3.1,    0.6,   96.3,   99.4,    3.7,    0.6,    214,      4,.,      0,      5,.,.,     15,     15,.,    143,     28,.,    171,     51,    54.6,    78.5,    67.9,    89.3,    53.6,    78.5,    66.9,    89.3,"(0.1 Index Points)","146022","CME ","146 ","F85","FutOnly"
"MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE",250218,2025-02-18,146022,CME ,00,146 ,   94663,    1301,    2072,     893,     771,    1651,    1371,   52198,   82128,    3577,   31383,    2475,       0,   91494,   94167,    3169,     496,   -4246,   -2031,      80,     859,    -289,    1009,      18,    -671,   -4818,   -1241,   -1396,    -179,       0,   -4751,   -4272,     505,      26,  100.0,    1.4,    2.2,    0.9,    0.8,    1.7,    1.4,   55.1,   86.8,    3.8,   33.2,    2.6,    0.0,   96.7,   99.5,    3.3,    0.5,    225,      4,.,.,.,.,.,     16,     14,      4,    157,     27,      0,    184,     48,    57.8,    79.9,    67.6,    90.9,    57.1,    76.9,    65.4,    87.6,"(0.1 Index Points)","146022","CME ","146 ","F85","FutOnly"
"MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE",250211,2025-02-11,146022,CME ,00,146 ,   98909,    3332,    1992,      34,    1060,     642,    1353,   52869,   86946,    4818,   32779,    2654,       0,   96245,   98439,    2664,     470,  -44117,    3120,   -4766,      34,     151,    -161,     264,  -49004,  -37474,   -2073,    3111,      10,     -10,  -44407,  -44176,     290,      59,  100.0,    3.4,    2.0,    0.0,    1.1,    0.6,    1.4,   53.5,   87.9,    4.9,   33.1,    2.7,    0.0,   97.3,   99.5,    2.7,    0.5,    213,      4,.,.,      5,.,.,     13,     15,.,    147,     27,      0,    171,     48,    55.2,    84.9,    67.4,    92.7,    54.0,    80.4,    64.5,    88.1,"(0.1 Index Points)","146022","CME ","146 ","F85","FutOnly"
"MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE",250204,2025-02-04,146022,CME ,00,146 ,  143026,     212,    6758,       0,     909,     803,    1089,  101873,  124420,    6891,   29668,    2644,      10,  140652,  142615,    2374,     411,   42352,   -4252,  -32834,   -1186,   -1045,    -903,     612,   36168,   72210,    5275,    6766,    -604,     -98,   42240,   42472,     112,    -120,  100.0,    0.1,    4.7,    0.0,    0.6,    0.6,    0.8,   71.2,   87.0,    4.8,   20.7,    1.8,    0.0,   98.3,   99.7,    1.7,    0.3,    209,.,.,      0,.,.,.,     14,     11,.,    144,     29,.,    166,     47,    71.7,    85.2,    80.2,    94.2,    69.8,    80.4,    76.5,    89.3,"(0.1 Index Points)","146022","CME ","146 ","F85","FutOnly"
"MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE",250128,2025-01-28,146022,CME ,00,146 ,  100674,    4464,   39592,    1186,    1954,    1706,     477,   65705,   52210,    1616,   22902,    3248,     108,   98412,  100143,    2262,     531,   15110,    1899,    -942,    1177,    -404,    -476,     331,   19266,   18631,   -4858,   -2249,    1155,      33,   15195,   15051,     -85,      59,  100.0,    4.4,   39.3,    1.2,    1.9,    1.7,    0.5,   65.3,   51.9,    1.6,   22.7,    3.2,    0.1,   97.8,   99.5,    2.2,    0.5,    188,      4,.,.,      5,.,.,     16,     11,      4,    120,     29,.,    151,     47,    63.7,    85.1,    72.9,    92.4,    62.2,    85.1,    71.4,    91.3,"(0.1 Index Points)","146022","CME ","146 ","F85","FutOnly"
"MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE",250121,2025-01-21,146022,CME ,00,146 ,   85564,    2565,   40534,       9,    2358,    2182,     146,   46439,   33579,    6474,   25151,    2093,      75,   83217,   85092,    2347,     472,   22967,   -2355,    4463,       9,     631,    -206,    -128,   19102,   19560,    -584,    5958,     -67,      -5,   22628,   23042,     339,     -75,  100.0,    3.0,   47.4,    0.0,    2.8,    2.6,    0.2,   54.3,   39.2,    7.6,   29.4,    2.4,    0.1,   97.3,   99.4,    2.7,    0.6,    197,      4,.,.,      5,.,.,     17,     10,      7,    137,     20,.,    168,     40,    52.9,    85.7,    64.7,    92.8,    46.8,    82.5,    58.4,    87.5,"(0.1 Index Points)","146022","CME ","146 ","F85","FutOnly"
"MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE",250114,2025-01-14,146022,CME ,00,146 ,   62597,    4920,   36071,       0,    1727,    2388,     274,   27337,   14019,    7058,   19193,    2160,      80,   60589,   62050,    2008,     547,    8387,   -1431,    1693,       0,    -121,     -70,     128,    3639,    2754,    4657,    1418,    -989,      10,    8300,    8183,      87,     204,  100.0,    7.9,   57.6,    0.0,    2.8,    3.8,    0.4,   43.7,   22.4,   11.3,   30.7,    3.5,    0.1,   96.8,   99.1,    3.2,    0.9,    164,      5,.,      0,.,.,.,     20,     10,      7,     98,     24,.,    130,     46,    42.7,    83.6,    57.0,    92.4,    36.8,    80.0,    49.0,    83.8,"(0.1 Index Points)","146022","CME ","146 ","F85","FutOnly"
"MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE",250107,2025-01-07,146022,CME ,00,146 ,   54210,    6351,   34378,       0,    1848,    2458,     146,   23698,   11265,    2401,   17775,    3149,      70,   52289,   53867,    1921,     343,   -1118,    5354,    -370,    -663,     547,     921,       0,  -10789,   -2271,    2345,    1960,   -1049,      40,   -1206,   -1047,      88,     -71,  100.0,   11.7,   63.4,    0.0,    3.4,    4.5,    0.3,   43.7,   20.8,    4.4,   32.8,    5.8,    0.1,   96.5,   99.4,    3.5,    0.6,    165,      4,.,      0,      4,.,.,     16,     10,      6,    105,     22,.,    135,     39,    47.8,    83.7,    58.7,    92.7,    47.8,    80.6,    57.8,    89.1,"(0.1 Index Points)","146022","CME ","146 ","F85","FutOnly"
"NANO ETHER - LMX LABS LLC",250610,2025-06-10,146LM1,FREX,00,146 ,  123003,       0,       0,       0,       0,       0,       0,    1507,   79595,       0,  116183,   41605,       0,  117690,  121200,    5313,    1803,   10943,       0,       0,       0,       0,       0,       0,    1315,   -2533,       0,   12049,   15684,   -2604,   10760,   10547,     183,     396,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    1.2,   64.7,    0.0,   94.5,   33.8,    0.0,   95.7,   98.5,    4.3,    1.5,    500,      0,      0,      0,      0,      0,      0,.,      8,      0,    362,    127,      0,    365,    135,    20.5,    63.0,    31.8,    83.3,    20.5,    63.0,    31.8,    83.3,"(0.1 Ether or 1/10 X$2,000 = $200)","146LM1","FREX","146 ","F85","FutOnly"
"NANO ETHER - LMX LABS LLC",250603,2025-06-03,146LM1,FREX,00,146 ,  112060,       0,       0,       0,       0,       0,       0,     192,   82128,       0,  104134,   25921,    2604,  106930,  110653,    5130,    1407,   13548,       0,       0,       0,       0,       0,       0,   -5700,   48853,      -1,   16312,  -37543,    2604,   13215,   13913,     333,    -365,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.2,   73.3,    0.0,   92.9,   23.1,    2.3,   95.4,   98.7,    4.6,    1.3,    478,      0,      0,      0,      0,      0,      0,.,     10,      0,    351,    115,.,    354,    125,    24.8,    64.8,    37.1,    80.0,    24.8,    64.8,    37.1,    78.0,"(0.1 Ether or 1/10 X$2,000 = $200)","146LM1","FREX","146 ","F85","FutOnly"
"NANO ETHER - LMX LABS LLC",250527,2025-05-27,146LM1,FREX,00,146 ,   98512,       0,       0,       0,       0,       0,       0,    5892,   33275,       1,   87822,   63464,       0,   93715,   96740,    4797,    1772,    6774,       0,       0,       0,       0,       0,       0,    3317,  -15263,       1,    4474,   21591,       0,    7792,    6329,   -1018,     445,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    6.0,   33.8,    0.0,   89.1,   64.4,    0.0,   95.1,   98.2,    4.9,    1.8,    472,      0,      0,      0,      0,      0,      0,      4,      5,.,    322,    141,      0,    327,    146,    22.5,    57.0,    35.2,    74.1,    22.5,    57.0,    35.2,    74.1,"(0.1 Ether or 1/10 X$2,000 = $200)","146LM1","FREX","146 ","F85","FutOnly"
"NANO ETHER - LMX LABS LLC",250520,2025-05-20,146LM1,FREX,00,146 ,   91738,       0,       0,       0,       0,       0,       0,    2575,   48538,       0,   83348,   41873,       0,   85923,   90411,    5815,    1327,   -1007,       0,       0,       0,       0,       0,       0,   -2306,  -14488,       0,     174,   13679,       0,   -2132,    -809,    1125,    -198,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    2.8,   52.9,    0.0,   90.9,   45.6,    0.0,   93.7,   98.6,    6.3,    1.4,    449,      0,      0,      0,      0,      0,      0,      4,      6,      0,    346,     93,      0,    350,     99,    18.6,    64.2,    30.5,    80.7,    18.6,    64.2,    30.5,    80.7,"(0.1 Ether or 1/10 X$2,000 = $200)","146LM1","FREX","146 ","F85","FutOnly"
"NANO ETHER - LMX LABS LLC",250513,2025-05-13,146LM1,FREX,00,146 ,   92745,       0,       0,       0,       0,       0,       0,    4881,   63026,       0,   83174,   28194,       0,   88055,   91220,    4690,    1525,   23130,       0,       0,       0,       0,       0,       0,    3321,   19879,       0,   18467,    2400,       0,   21788,   22279,    1342,     851,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    5.3,   68.0,    0.0,   89.7,   30.4,    0.0,   94.9,   98.4,    5.1,    1.6,    401,      0,      0,      0,      0,      0,      0,.,      7,      0,    267,    124,      0,    270,    131,    26.6,    59.9,    40.8,    77.2,    26.6,    59.9,    40.8,    77.2,"(0.1 Ether or 1/10 X$2,000 = $200)","146LM1","FREX","146 ","F85","FutOnly"
"NANO ETHER - LMX LABS LLC",250506,2025-05-06,146LM1,FREX,00,146 ,   69615,       0,       0,       0,       0,       0,       0,    1560,   43147,       0,   64707,   25794,       0,   66267,   68941,    3348,     674,   15797,       0,       0,       0,       0,       0,       0,    1203,   17482,     -12,   15991,     246,       0,   17182,   17716,   -1385,   -1919,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    2.2,   62.0,    0.0,   92.9,   37.1,    0.0,   95.2,   99.0,    4.8,    1.0,    263,      0,      0,      0,      0,      0,      0,      4,      6,      0,    202,     51,      0,    206,     57,    35.0,    70.4,    44.5,    89.3,    35.0,    70.4,    44.5,    89.3,"(0.1 Ether or 1/10 X$2,000 = $200)","146LM1","FREX","146 ","F85","FutOnly"
"NANO ETHER - LMX LABS LLC",250429,2025-04-29,146LM1,FREX,00,146 ,   53818,       0,       0,       0,       0,       0,       0,     357,   25665,      12,   48716,   25548,       0,   49085,   51225,    4733,    2593,  -12536,       0,       0,       0,       0,       0,       0,     181,   -5138,   -1718,   -2086,    2879,      -5,   -3628,   -3982,   -8908,   -8554,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.7,   47.7,    0.0,   90.5,   47.5,    0.0,   91.2,   95.2,    8.8,    4.8,    245,      0,      0,      0,      0,      0,      0,      5,      5,.,    160,     75,      0,    165,     81,    36.3,    64.5,    45.9,    80.0,    36.3,    64.5,    45.9,    80.0,"(0.1 Ether or 1/10 X$2,000 = $200)","146LM1","FREX","146 ","F85","FutOnly"
"NANO ETHER - LMX LABS LLC",250422,2025-04-22,146LM1,FREX,00,146 ,   66354,       0,       0,       0,       0,       0,       0,     176,   30803,    1730,   50802,   22669,       5,   52713,   55207,   13641,   11147,    9301,       0,       0,       0,       0,       0,       0,   -1330,    6388,    1571,    2595,   -5393,       0,    2836,    2566,    6465,    6735,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.3,   46.4,    2.6,   76.6,   34.2,    0.0,   79.4,   83.2,   20.6,   16.8,    276,      0,      0,      0,      0,      0,      0,.,      7,.,    166,    101,.,    169,    109,    33.4,    44.1,    43.2,    55.0,    33.4,    44.1,    42.5,    54.3,"(0.1 Ether or 1/10 X$2,000 = $200)","146LM1","FREX","146 ","F85","FutOnly"
"NANO ETHER - LMX LABS LLC",250415,2025-04-15,146LM1,FREX,00,146 ,   57053,       0,       0,       0,       0,       0,       0,    1506,   24415,     159,   48207,   28062,       5,   49877,   52641,    7176,    4412,   20426,       0,       0,       0,       0,       0,       0,    1025,   13326,      98,   15737,    3398,       5,   16865,   16827,    3561,    3599,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    2.6,   42.8,    0.3,   84.5,   49.2,    0.0,   87.4,   92.3,   12.6,    7.7,    291,      0,      0,      0,      0,      0,      0,      4,      5,.,    203,     79,.,    209,     84,    25.2,    51.6,    34.2,    64.8,    25.2,    51.6,    34.2,    64.5,"(0.1 Ether or 1/10 X$2,000 = $200)","146LM1","FREX","146 ","F85","FutOnly"
"NANO ETHER - LMX LABS LLC",250408,2025-04-08,146LM1,FREX,00,146 ,   36627,       0,       0,       0,       0,       0,       0,     481,   11089,      61,   32470,   24664,       0,   33012,   35814,    3615,     813,     324,       0,   -1793,       0,       0,       0,       0,   -3150,    2693,      41,    2593,    -631,       0,    -516,     310,     840,      14,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    1.3,   30.3,    0.2,   88.7,   67.3,    0.0,   90.1,   97.8,    9.9,    2.2,    269,      0,      0,      0,      0,      0,      0,      5,      5,.,    205,     54,      0,    211,     60,    16.8,    57.0,    24.8,    72.7,    16.8,    57.0,    24.8,    72.7,"(0.1 Ether or 1/10 X$2,000 = $200)","146LM1","FREX","146 ","F85","FutOnly"
"NANO ETHER - LMX LABS LLC",250401,2025-04-01,146LM1,FREX,00,146 ,   36303,       0,    1793,       0,       0,       0,       0,    3631,    8396,      20,   29877,   25295,       0,   33528,   35504,    2775,     799,   -4757,       0,    1793,       0,       0,       0,       0,    2017,   -9051,   -1691,   -4307,    4275,    -100,   -4081,   -4774,    -676,      17,  100.0,    0.0,    4.9,    0.0,    0.0,    0.0,    0.0,   10.0,   23.1,    0.1,   82.3,   69.7,    0.0,   92.4,   97.8,    7.6,    2.2,    257,      0,.,      0,      0,      0,      0,      5,      4,.,    179,     68,      0,    184,     74,    22.5,    58.3,    37.1,    75.2,    22.5,    58.3,    37.1,    75.2,"(0.1 Ether or 1/10 X$2,000 = $200)","146LM1","FREX","146 ","F85","FutOnly"
"NANO ETHER - LMX LABS LLC",250325,2025-03-25,146LM1,FREX,00,146 ,   41060,       0,       0,       0,       0,       0,       0,    1614,   17447,    1711,   34184,   21020,     100,   37609,   40278,    3451,     782,   -3085,       0,   -1700,       0,       0,       0,       0,      54,   -3785,    1691,   -4171,     427,     100,   -2326,   -3267,    -759,     182,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    3.9,   42.5,    4.2,   83.3,   51.2,    0.2,   91.6,   98.1,    8.4,    1.9,    297,      0,      0,      0,      0,      0,      0,      4,      7,.,    215,     71,.,    222,     79,    20.4,    58.6,    29.8,    72.9,    18.8,    54.5,    27.3,    68.8,"(0.1 Ether or 1/10 X$2,000 = $200)","146LM1","FREX","146 ","F85","FutOnly"
"NANO ETHER - LMX LABS LLC",250318,2025-03-18,146LM1,FREX,00,146 ,   44145,       0,    1700,       0,       0,       0,       0,    1560,   21232,      20,   38355,   20593,       0,   39935,   43545,    4210,     600,    -458,       0,    1700,       0,       0,       0,       0,     608,    4854,      20,    -756,   -6988,       0,    -128,    -414,    -330,     -44,  100.0,    0.0,    3.9,    0.0,    0.0,    0.0,    0.0,    3.5,   48.1,    0.0,   86.9,   46.6,    0.0,   90.5,   98.6,    9.5,    1.4,    310,      0,.,      0,      0,      0,      0,      5,      5,.,    227,     72,      0,    233,     78,    20.0,    55.3,    30.4,    69.0,    20.0,    55.3,    30.4,    69.0,"(0.1 Ether or 1/10 X$2,000 = $200)","146LM1","FREX","146 ","F85","FutOnly"
"NANO ETHER - LMX LABS LLC",250311,2025-03-11,146LM1,FREX,00,146 ,   44603,       0,       0,       0,       0,       0,       0,     952,   16378,       0,   39111,   27581,       0,   40063,   43959,    4540,     644,    6246,       0,    -350,       0,       0,       0,       0,     275,   -6490,    -164,    5594,   13046,       0,    5705,    6042,     541,     204,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    2.1,   36.7,    0.0,   87.7,   61.8,    0.0,   89.8,   98.6,   10.2,    1.4,    301,      0,      0,      0,      0,      0,      0,      4,      5,      0,    230,     62,      0,    234,     67,    22.1,    55.7,    31.9,    76.1,    22.1,    55.7,    31.9,    76.1,"(0.1 Ether or 1/10 X$2,000 = $200)","146LM1","FREX","146 ","F85","FutOnly"
"NANO ETHER - LMX LABS LLC",250304,2025-03-04,146LM1,FREX,00,146 ,   38357,       0,     350,       0,       0,       0,       0,     677,   22868,     164,   33517,   14535,       0,   34358,   37917,    3999,     440,  -25563,       0,    -750,       0,       0,       0,       0,      52,  -24676,    -132,  -24863,     165,    -138,  -25081,  -25531,    -482,     -32,  100.0,    0.0,    0.9,    0.0,    0.0,    0.0,    0.0,    1.8,   59.6,    0.4,   87.4,   37.9,    0.0,   89.6,   98.9,   10.4,    1.1,    271,      0,.,      0,      0,      0,      0,.,      6,.,    214,     47,      0,    218,     55,    20.3,    65.1,    27.5,    80.1,    20.3,    64.8,    27.5,    79.8,"(0.1 Ether or 1/10 X$2,000 = $200)","146LM1","FREX","146 ","F85","FutOnly"
"NANO ETHER - LMX LABS LLC",250225,2025-02-25,146LM1,FREX,00,146 ,   63920,       0,    1100,       0,       0,       0,       0,     625,   47544,     296,   58380,   14370,     138,   59439,   63448,    4481,     472,    -233,       0,   -1950,       0,       0,       0,       0,   -1508,   -3239,      -5,    2635,    4772,     138,    1260,    -284,   -1493,      51,  100.0,    0.0,    1.7,    0.0,    0.0,    0.0,    0.0,    1.0,   74.4,    0.5,   91.3,   22.5,    0.2,   93.0,   99.3,    7.0,    0.7,    287,      0,.,      0,      0,      0,      0,      5,      8,.,    232,     41,.,    241,     50,    38.8,    70.2,    50.8,    83.0,    38.8,    69.8,    50.8,    82.6,"(0.1 Ether or 1/10 X$2,000 = $200)","146LM1","FREX","146 ","F85","FutOnly"
"NANO ETHER - LMX LABS LLC",250218,2025-02-18,146LM1,FREX,00,146 ,   64153,       0,    3050,       0,       0,       0,       0,    2133,   50783,     301,   55745,    9598,       0,   58179,   63732,    5974,     421,    -352,       0,    -450,       0,       0,       0,       0,    -179,    2930,     200,    -301,   -2952,       0,    -280,    -272,     -72,     -80,  100.0,    0.0,    4.8,    0.0,    0.0,    0.0,    0.0,    3.3,   79.2,    0.5,   86.9,   15.0,    0.0,   90.7,   99.3,    9.3,    0.7,    336,      0,.,      0,      0,      0,      0,      5,      7,.,    284,     39,      0,    291,     47,    19.9,    73.1,    29.9,    86.0,    19.9,    72.9,    29.9,    85.8,"(0.1 Ether or 1/10 X$2,000 = $200)","146LM1","FREX","146 ","F85","FutOnly"
"NANO ETHER - LMX LABS LLC",250211,2025-02-11,146LM1,FREX,00,146 ,   64505,       0,    3500,       0,       0,       0,       0,    2312,   47853,     101,   56046,   12550,       0,   58459,   64004,    6046,     501,  -11106,       0,    3500,       0,       0,       0,       0,   -1532,  -12441,      86,  -10683,   -2128,       0,  -12129,  -10983,    1023,    -123,  100.0,    0.0,    5.4,    0.0,    0.0,    0.0,    0.0,    3.6,   74.2,    0.2,   86.9,   19.5,    0.0,   90.6,   99.2,    9.4,    0.8,    333,      0,.,      0,      0,      0,      0,      4,      7,.,    277,     44,      0,    283,     53,    19.5,    68.1,    30.3,    84.7,    19.5,    68.0,    30.3,    84.7,"(0.1 Ether or 1/10 X$2,000 = $200)","146LM1","FREX","146 ","F85","FutOnly"
"NANO ETHER - LMX LABS LLC",250204,2025-02-04,146LM1,FREX,00,146 ,   75611,       0,       0,       0,       0,       0,       0,    3844,   60294,      15,   66729,   14678,       0,   70588,   74987,    5023,     624,   21867,       0,       0,       0,       0,       0,       0,    2797,   14948,      15,   18738,    6773,       0,   21550,   21736,     317,     131,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    5.1,   79.7,    0.0,   88.3,   19.4,    0.0,   93.4,   99.2,    6.6,    0.8,    320,      0,      0,      0,      0,      0,      0,      4,      7,.,    262,     47,      0,    267,     55,    26.5,    76.6,    37.0,    85.7,    26.5,    76.6,    37.0,    85.7,"(0.1 Ether or 1/10 X$2,000 = $200)","146LM1","FREX","146 ","F85","FutOnly"
